"fips","pop2025","pop2020","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
13017,16740,17166,"Georgia","GA",-0.024816497728067155,"Ben Hill County","Ben Hill County","georgia/ben-hill-county",250,66.96,104
13221,16556,14867,"Georgia","GA",0.11360731822156445,"Oglethorpe County","Oglethorpe County","georgia/oglethorpe-county",439,37.712984054669704,105
13027,16413,16271,"Georgia","GA",0.00872718333230904,"Brooks County","Brooks County","georgia/brooks-county",493,33.2920892494929,106
13083,15948,16235,"Georgia","GA",-0.017677856482907317,"Dade County","Dade County","georgia/dade-county",174,91.65517241379311,107
13161,15311,14802,"Georgia","GA",0.03438724496689627,"Jeff Davis County","Jeff Davis County","georgia/jeff-davis-county",331,46.25679758308157,108
13163,14827,15676,"Georgia","GA",-0.05415922429191122,"Jefferson County","Jefferson County","georgia/jefferson-county",527,28.134724857685008,109
13251,14446,14079,"Georgia","GA",0.026067192272178463,"Screven County","Screven County","georgia/screven-county",646,22.362229102167184,110
13281,13361,12551,"Georgia","GA",0.06453669030356157,"Towns County","Towns County","georgia/towns-county",166,80.48795180722891,111
13049,13114,12533,"Georgia","GA",0.04635761589403975,"Charlton County","Charlton County","georgia/charlton-county",780,16.81282051282051,112
13023,12797,12525,"Georgia","GA",0.02171656686626755,"Bleckley County","Bleckley County","georgia/bleckley-county",216,59.245370370370374,113
13079,12363,12102,"Georgia","GA",0.021566683192860703,"Crawford County","Crawford County","georgia/crawford-county",325,38.04,114
13149,12186,11445,"Georgia","GA",0.06474442988204454,"Heard County","Heard County","georgia/heard-county",296,41.16891891891892,115
13191,12068,10984,"Georgia","GA",0.09868900218499643,"McIntosh County","McIntosh County","georgia/mcintosh-county",431,28,116
13193,11824,12020,"Georgia","GA",-0.01630615640598998,"Macon County","Macon County","georgia/macon-county",401,29.486284289276806,117
13093,11316,11159,"Georgia","GA",0.01406936105385781,"Dooly County","Dooly County","georgia/dooly-county",393,28.793893129770993,118
13043,11154,11026,"Georgia","GA",0.011608924360602124,"Candler County","Candler County","georgia/candler-county",243,45.901234567901234,119
13271,11031,12453,"Georgia","GA",-0.11418935196338231,"Telfair County","Telfair County","georgia/telfair-county",437,25.242562929061783,120
13109,10985,10795,"Georgia","GA",0.017600741083835025,"Evans County","Evans County","georgia/evans-county",183,60.02732240437158,121
13005,10950,11113,"Georgia","GA",-0.014667506523890927,"Bacon County","Bacon County","georgia/bacon-county",284,38.556338028169016,122
13173,10476,9929,"Georgia","GA",0.055091147144727515,"Lanier County","Lanier County","georgia/lanier-county",197,53.17766497461929,123
13099,10318,10796,"Georgia","GA",-0.04427565765098185,"Early County","Early County","georgia/early-county",513,20.113060428849902,124
13235,10246,9874,"Georgia","GA",0.037674701235568264,"Pulaski County","Pulaski County","georgia/pulaski-county",249,41.14859437751004,125
13317,9582,9551,"Georgia","GA",0.0032457334310542763,"Wilkes County","Wilkes County","georgia/wilkes-county",470,20.387234042553192,126
13253,9468,9133,"Georgia","GA",0.036680170809153534,"Seminole County","Seminole County","georgia/seminole-county",238,39.78151260504202,127
13155,9187,9650,"Georgia","GA",-0.04797927461139895,"Irwin County","Irwin County","georgia/irwin-county",354,25.951977401129945,128
13287,9120,8985,"Georgia","GA",0.015025041736226985,"Turner County","Turner County","georgia/turner-county",285,32,129
13165,9044,8663,"Georgia","GA",0.043980145446150365,"Jenkins County","Jenkins County","georgia/jenkins-county",347,26.063400576368878,130
13167,9028,9183,"Georgia","GA",-0.01687901557225313,"Johnson County","Johnson County","georgia/johnson-county",303,29.795379537953796,131
13315,9007,8792,"Georgia","GA",0.024454049135577804,"Wilcox County","Wilcox County","georgia/wilcox-county",378,23.82804232804233,132
